Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,female?,Featured on homepage?,Company name,Company URL,Function/Title,Picture,Personal website,Twitter URL,LinkedIn URL,Upcoming
David Beentjes,david-beentjes,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bfab3cbb03b6,Sun Apr 14 2019 15:54:14 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:25 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:25 GMT+0000 (Coordinated Universal Time),,,ClickValue,https://clickvalue.nl/,Managing Partner,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf82929b39a03394d0218_davidbeentjes.jpeg,,,https://nl.linkedin.com/in/davidbeentjes,
David Brinks,david-brinks,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf4110bb0475,Sun Apr 14 2019 15:56:37 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:19 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:19 GMT+0000 (Coordinated Universal Time),,,Hardcopy,https://www.hard-c.com/,Content writer & owner,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf8229d0a8a2794ba9925_5cb358092da2add1ef57e8dd_davidbrinks.jpeg,,https://twitter.com/davidbrinks,https://www.linkedin.com/in/davidbrinks,
Gerben van Ouwendorp,gerben-van-ouwendorp,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf85f6bb0472,Sun Apr 14 2019 15:59:10 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:14 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:14 GMT+0000 (Coordinated Universal Time),,,Vacanceselect,https://www.vacanceselect.com/,Product owner & CRO specialist,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf81e3af82b1e5eaefb1f_5cb3588b2da2ad45d957ec74_gerben.jpeg,,https://twitter.com/ouwendorp,https://nl.linkedin.com/in/gerbenvanouwendorp,
Wouter Wensing,wouter-wensing,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf8ce3bb03b1,Sun Apr 14 2019 16:05:31 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:02 GMT+0000 (Coordinated Universal Time),,,ISM eCompany,https://www.ism.nl,Team Lead Conversion & Webanalytics,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf812b8af093cbe4b4e18_5cb35a1edfaff59d4d397294_wouterwensing.jpeg,,https://twitter.com/wwensing,https://nl.linkedin.com/in/wouterwensing,
Shirley van Haalem,shirley-van-haalem,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf5ffcbb0477,Sun Apr 14 2019 16:12:17 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:57 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:57 GMT+0000 (Coordinated Universal Time),true,,Traffic Builders,https://www.traffic-builders.com,Product Manager Customer Experience Optimization,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf80d90b0b36b989cee25_5f69fe759248faa9489b4743_5cb35ba52edee00b22831bce__1eb5d7633310ec7778d70e1379041e0e.jpeg,,,https://nl.linkedin.com/in/shirley-van-haalem,
Joren Gilst,joren-gilst,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf687dbb0474,Sun Apr 14 2019 16:14:13 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:52 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:52 GMT+0000 (Coordinated Universal Time),,,Traffic Builders,https://www.traffic-builders.com/,Customer Experience Optimization Consultant,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf80829b39a46084cd993_5cb35c4adfaff58fd8397ad1_joren.jpeg,,,https://nl.linkedin.com/in/joren-van-gilst-34220a56,
Bernadette Bijkerk,bernadette-bijkerk,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bfef28bb047a,Sun Apr 14 2019 16:16:40 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:44 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:44 GMT+0000 (Coordinated Universal Time),true,false,Talpa Nieuws,https://talpanetwork.com/,CRO Specialist,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf800b36c358e7b54b3b5_bernadette.jpeg,,https://twitter.com/bernadetteb,https://nl.linkedin.com/in/bernadettebijkerk,
Daphne Tideman,daphne-tideman,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf1e1ebb0478,Sun Apr 14 2019 16:19:34 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:40 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:40 GMT+0000 (Coordinated Universal Time),true,,Rockboost,https://www.rockboost.com/,Head of Growth Consultancy ,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf7fbb498125ecc12c463_5cb35d934e458481b4075037_daphne.jpeg,,https://twitter.com/daphnetideman,https://nl.linkedin.com/in/daphnetideman,
Tim Zuidgeest,tim-zuidgeest,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bfdaf1bb0488,Fri May 31 2019 09:37:28 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:34 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:34 GMT+0000 (Coordinated Universal Time),,,Unravel Research,https://www.unravelresearch.com/,Founder,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf7f6a2eb555b53937714_5f69fd3995fb204f7fa21428_5cf0f593b2a8191d789a315a__4a290bbe4bced84503971f6fde48657c.jpeg,,https://twitter.com/timzuidgeest,https://nl.linkedin.com/in/timzuidgeest,
Denise Visser,denise-visser,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bfba8bbb0494,Wed Jul 03 2019 15:10:26 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:29 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:23:29 GMT+0000 (Coordinated Universal Time),true,true,Bol.com,https://www.bol.com,Product Manager Experimentation at bol.com,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf7f1b8af0913754b2d14_denise-visser.jpeg,,https://twitter.com/postvak,https://nl.linkedin.com/in/denisevisser,
