Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Featured on homepage?,Company name,Company URL,Function/Title,Picture,Personal website,Twitter URL,LinkedIn URL,Upcoming
Torsten Schwarz,torsten-schwarz,62446457cab48b6e162519fa,646c7e19f2d745aae78ecd86,Tue May 23 2023 08:49:29 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 08:49:29 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 08:49:38 GMT+0000 (Coordinated Universal Time),false,marketing-BÖRSE GmbH,https://www.marketing-boerse.de/,CEO,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/646c7e030c8d2b5219c60fb9_Foto-Schwarz_Portrait.png,https://www.torstenschwarz.de/,,https://www.linkedin.com/in/tschwarz/,false
Fionn Kientzler,fionn-kientzler,62446457cab48b6e162519fa,63296cbd951f37669dba4978,Tue Sep 20 2022 07:33:17 GMT+0000 (Coordinated Universal Time),Tue May 02 2023 08:43:25 GMT+0000 (Coordinated Universal Time),Tue May 02 2023 08:47:11 GMT+0000 (Coordinated Universal Time),false,suxeedo,https://suxeedo.de/,Managing Partner,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/63296c6d9ce2c3bfa6fb16d8_fionn-kientzler.jpg,https://www.fionnkientzler.com/,,https://www.linkedin.com/in/fionnkientzler/,false
Olaf Kopp,olaf-kopp,62446457cab48b6e162519fa,63a087c7cc8556e38c85c091,Mon Dec 19 2022 15:48:23 GMT+0000 (Coordinated Universal Time),Tue May 02 2023 08:43:15 GMT+0000 (Coordinated Universal Time),Tue May 02 2023 08:47:11 GMT+0000 (Coordinated Universal Time),false,Aufgesang GmbH,https://www.aufgesang.de/,Co-Founder und Chief Business Development Officer,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/63a08757ce64bf56aeefe242_Olaf-Kopp-300x286.png,,,https://www.linkedin.com/in/olafkopp/,false
Maximilian Steudel,maximilian-steudel,62446457cab48b6e162519fa,63ea16437d9f948e9f3a5b5e,Mon Feb 13 2023 10:51:47 GMT+0000 (Coordinated Universal Time),Tue Mar 14 2023 21:13:01 GMT+0000 (Coordinated Universal Time),Tue Mar 14 2023 21:13:04 GMT+0000 (Coordinated Universal Time),true,Dr. Oetker ,https://www.oetker.com/,MarTech und Digital Engagement Lead,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/63ea1557124f32094c5551a4_Absatzwirtschaft_msteudel_mini.png,,,https://www.linkedin.com/in/maximiliansteudel/,false
Christoph Rottler,christoph-rottler,62446457cab48b6e162519fa,629492648fb4ef1bd6302c2b,Mon May 30 2022 09:46:12 GMT+0000 (Coordinated Universal Time),Mon Dec 05 2022 13:31:19 GMT+0000 (Coordinated Universal Time),Mon Dec 05 2022 13:32:21 GMT+0000 (Coordinated Universal Time),false,Kameleoon,https://www.kameleoon.com/de,Managing Director DACH,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62ba004501abdfde1484710c_Unbenannt-2_0000_Ebene%201.jpg,,,https://www.linkedin.com/in/christoph-rottler-41a547b3/,false
Ilja Gurevich,ilja-gurevich,62446457cab48b6e162519fa,62b9bcb95670feacbcbdd1f7,Mon Jun 27 2022 14:20:41 GMT+0000 (Coordinated Universal Time),Mon Dec 05 2022 13:31:10 GMT+0000 (Coordinated Universal Time),Mon Dec 05 2022 13:32:21 GMT+0000 (Coordinated Universal Time),false,Fissler,,,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62ba9d045db0da877f74ca5c_Ilja-Gurevich-Portrait-Business-2022.png,,,https://www.linkedin.com/in/ilja-gurevich/,false
Timo von Focht,timo-von-focht,62446457cab48b6e162519fa,62da86669543153923ec98e6,Fri Jul 22 2022 11:13:42 GMT+0000 (Coordinated Universal Time),Mon Dec 05 2022 13:30:56 GMT+0000 (Coordinated Universal Time),Mon Dec 05 2022 13:32:21 GMT+0000 (Coordinated Universal Time),false,Mixpanel ,https://mixpanel.com/,Country Lead DACH,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62da865f9a81de60124b4a16_Timo_200x200.png,,,https://www.linkedin.com/in/tvonfocht/,false
Samuel Hess ,samuel-hess,62446457cab48b6e162519fa,633ee5b9e18f9683fea63818,Thu Oct 06 2022 14:27:05 GMT+0000 (Coordinated Universal Time),Mon Oct 31 2022 15:37:52 GMT+0000 (Coordinated Universal Time),Mon Oct 31 2022 15:48:45 GMT+0000 (Coordinated Universal Time),true,DRIP Agency,https://dripagency.de/,Gründer & Chief Experimentation Evangelist,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/633ee5aa35ad655b6a4114ba_Samuel_Hess_iOS%20(1)%20Kopie.jpeg,,,https://www.linkedin.com/in/samuel-hess/,false
Matthias Niggehoff,matthias-niggehoff,62446457cab48b6e162519fa,633c4117576257b11ebf3231,Tue Oct 04 2022 14:20:07 GMT+0000 (Coordinated Universal Time),Thu Oct 06 2022 14:27:12 GMT+0000 (Coordinated Universal Time),Thu Oct 06 2022 14:27:42 GMT+0000 (Coordinated Universal Time),true,Leiter des Instituts für Verkaufspsychologie in Aachen,,,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/633c40b81a018943c8d8a185_1658231281246.jpeg,https://matthiasniggehoff.de/,,https://de.linkedin.com/in/matthias-niggehoff-8a40b166,false
Florian Litterst,florian-litterst,62446457cab48b6e162519fa,63165e0560d78944639a0c00,Mon Sep 05 2022 20:37:25 GMT+0000 (Coordinated Universal Time),Tue Sep 06 2022 10:26:00 GMT+0000 (Coordinated Universal Time),Tue Sep 06 2022 10:26:07 GMT+0000 (Coordinated Universal Time),true,adsventure GmbH,https://www.adsventure.de/,Gründer & CEO,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/63165de3d20b89dcd47b9a53_Florian_Litterst-1024x1024-1.jpg,,,https://de.linkedin.com/in/florianlitterst,false
Dr. Tim Wiegels,dr-tim-wiegels,62446457cab48b6e162519fa,63047c710f744dce29530fc5,Tue Aug 23 2022 07:06:25 GMT+0000 (Coordinated Universal Time),Tue Aug 23 2022 09:04:43 GMT+0000 (Coordinated Universal Time),Tue Aug 23 2022 09:04:55 GMT+0000 (Coordinated Universal Time),true,FREE NOW,https://www.free-now.com/de/,Vice President Data,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/63047c586c00a06d2110c86a_Tim_Wiegels_200x200.png,,,https://www.linkedin.com/in/timwiegels/,false
Andre Morys,andre-morys,62446457cab48b6e162519fa,62446457cab48bdbfd251ce4,Wed Sep 11 2019 12:50:27 GMT+0000 (Coordinated Universal Time),Mon Jun 13 2022 22:21:18 GMT+0000 (Coordinated Universal Time),Mon Jun 13 2022 22:22:18 GMT+0000 (Coordinated Universal Time),true,konversionsKRAFT,https://www.konversionskraft.de/,Vorstand,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b2a632522e7_andre-morys-konversionskraft-1170x943.jpeg,,https://twitter.com/morys,https://www.linkedin.com/in/andremorys/,false
